time,event_type,qw,qx,qy,qz,bx,by,bz
6438.645712746,IMU,0.9965261893584509,-0.06287369654384262,-0.04883974388552159,-0.024436276779299087,9.949040359547074e-05,-8.32337498223898e-06,0.0002331550583566164
6438.652382337,IMU,0.9965267828620978,-0.06287102117538337,-0.04883115653519953,-0.024436118478943544,9.949040359547074e-05,-8.32337498223898e-06,0.0002331550583566164
6438.65647387,TRIAD,0.9964451611988543,-0.06281602242527146,-0.050489417121127055,-0.024535827045890534,9.926211446327695e-05,-1.1962053025148025e-06,0.00023296069906735456
6438.660382337,IMU,0.996445234024173,-0.06281769121441146,-0.05048657578463008,-0.024534443677102724,9.926211446327695e-05,-1.1962053025148025e-06,0.00023296069906735456
6438.667966838,IMU,0.9964454406216054,-0.0628208196825299,-0.050483179127686816,-0.024525030152714126,9.926211446327695e-05,-1.1962053025148025e-06,0.00023296069906735456
6438.672462963,TRIAD,0.9966130783955612,-0.062134281574627366,-0.04817682348310963,-0.024097649329452395,8.593892987399531e-05,-1.2263137389346088e-05,0.00022041426206392503
6438.675966838,IMU,0.996613137544239,-0.06213512038960204,-0.048177493670717525,-0.024091699649580356,8.593892987399531e-05,-1.2263137389346088e-05,0.00022041426206392503
6438.681884151,IMU,0.9966134988021338,-0.062131078577588386,-0.04817717656319826,-0.024087813071203515,8.593892987399531e-05,-1.2263137389346088e-05,0.00022041426206392503
6438.686377035,TRIAD,0.995940988726695,-0.06780600917213823,-0.05377133254835098,-0.024749462422761204,0.0001732844228215531,9.602987467649166e-06,0.00023976113405050373
6438.689884151,IMU,0.9959412205077364,-0.06780193890093437,-0.05377310994841588,-0.024747424538931497,0.0001732844228215531,9.602987467649166e-06,0.00023976113405050373
6438.697411595001,IMU,0.9959419168343346,-0.06779579140214688,-0.053771596699220124,-0.024739530086978934,0.0001732844228215531,9.602987467649166e-06,0.00023976113405050373
6438.701575294,TRIAD,0.9968808010420251,-0.06144910591874223,-0.039975797587449166,-0.02923373911844024,5.121468874937656e-05,-5.1451957229243935e-05,0.00042983086800404686
6438.705411595,IMU,0.9968810452714045,-0.061447639433271174,-0.039973946385817374,-0.02923102456320358,5.121468874937656e-05,-5.1451957229243935e-05,0.00042983086800404686
6438.716343479,TRIAD,0.9964290058207049,-0.06611652533214395,-0.04354917398753912,-0.029348098442128056,0.0001105339607027401,-4.0024451437425624e-05,0.00043236855100886265
6438.718957408,IMU,0.9964292032923535,-0.06611633229630073,-0.043546948749709366,-0.029345130506462834,0.0001105339607027401,-4.0024451437425624e-05,0.00043236855100886265
6438.72583813,IMU,0.9964291517335422,-0.06611911912058761,-0.04354295987050001,-0.02934652122496721,0.0001105339607027401,-4.0024451437425624e-05,0.00043236855100886265
6438.730069458,TRIAD,0.9959770559019627,-0.07091238150457967,-0.04222647721831748,-0.03490075769863139,0.00017870626715461407,-4.422066907766686e-05,0.0006216841650190753
6438.73383813,IMU,0.9959766869400419,-0.07091631104719501,-0.0422240149488481,-0.03490628111092429,0.00017870626715461407,-4.422066907766686e-05,0.0006216841650190753
6438.741332722,IMU,0.995976116133127,-0.07091870754770196,-0.04221740825447441,-0.03492568470926228,0.00017870626715461407,-4.422066907766686e-05,0.0006216841650190753
6438.745792311,TRIAD,0.9955688763149034,-0.07558063872372568,-0.03896575590661906,-0.04014784464725429,0.0002562410343714097,-5.829802018445323e-05,0.000838509460864934
6438.749332722,IMU,0.9955683736153363,-0.07558158390862349,-0.03896384830400214,-0.04016038042798524,0.0002562410343714097,-5.829802018445323e-05,0.000838509460864934
6438.7556417020005,IMU,0.9955669968275008,-0.0755889602114892,-0.03895872959003336,-0.04018558585796226,0.0002562410343714097,-5.829802018445323e-05,0.000838509460864934
6438.759844328,TRIAD,0.9955292671921325,-0.07562540011366256,-0.039815536362755845,-0.040211939591246526,0.00025738125275796174,-5.476356775932927e-05,0.000837313271363579
6438.763641702,IMU,0.9955285929908377,-0.07562991982414487,-0.03981147730353747,-0.040224147473704154,0.00025738125275796174,-5.476356775932927e-05,0.000837313271363579
6438.7714545730005,IMU,0.9955279199662096,-0.07563580070889445,-0.03980637577454656,-0.04023479422803478,0.00025738125275796174,-5.476356775932927e-05,0.000837313271363579
6438.775685402,TRIAD,0.9950618626378244,-0.0800849344422236,-0.037188043070657796,-0.04533588260642056,0.00033395328630538815,-6.623561015162121e-05,0.0010539753982817545
6438.779454573,IMU,0.995062333117014,-0.08008246529922522,-0.03718490141892556,-0.045332494634511285,0.00033395328630538815,-6.623561015162121e-05,0.0010539753982817545
