timestamp,mx,my,mz
11185.070827997,-340.6934667071301,21645.418421348902,-4755.116765553663
11185.085117108,-154.49026963439007,21440.41178825414,-5350.066200755609
11185.096454498,2812.1500340538205,21395.05884047166,-5166.830972630149
11185.111684789,-306.87557040894006,21278.81584157426,-5248.0658080375115
11185.12620651,-233.10078965797007,21505.968833655985,-5116.318873267883
11185.139783033,-230.86751332306008,21353.169310063797,-5050.257914655733
11185.153726591,-364.4424540734901,21663.820626054196,-4901.71217912065
11185.168493904,-298.88863182727005,21583.652319713234,-4755.246924752804
11185.184328912,-322.97654459947006,21354.578967724745,-4993.440325201698
11185.200506438,-430.2081046983601,21669.41644929729,-4561.251869498273
11185.215539322,-308.88894871268013,21256.672469150137,-5355.811799689163
11185.231332591,-262.33108849854005,21486.9653342987,-5029.317778736626
11185.245614998,-151.12118970729009,21463.59348902598,-5173.950474221312
11185.259855629,-463.4752472120601,21412.71141790386,-5268.574145978513
11185.274290425,-339.2348770141401,21492.025567272303,-4728.124226874453
11185.289536456,-439.99659320512006,21373.500834364375,-5141.820779214061
11185.30526754,-359.7136376967701,21585.03708935051,-4688.067216833744
11185.320809865,-476.1446016684601,21398.396822206952,-4868.827354156472
11185.335825565,-318.4454347094901,21378.65066422321,-4758.721968767993
11185.35078319,-433.59130651737007,21512.315279693114,-4778.436955399938
11185.366473441,-267.5743452234101,21349.040884696584,-5334.09897265134
11185.379263655,-433.20396319641014,21512.611944935317,-4758.902745433467
11185.393978634,-459.8317990992801,21353.697931686653,-5103.456871771716
11185.408350764,-319.1696860231601,21573.808608589297,-4736.2633088588955
11185.424213421,-344.05447698171014,21416.229588930564,-4992.913490348029
11185.439189435,-144.7481816296201,21437.572562513295,-4861.864870011891
11185.454216357,-401.3651491787501,21688.123283412362,-4667.787173995999
11185.468382728,-289.3321458304601,21461.674124640165,-5352.336755673975
11185.48268408,-381.7740502733201,21512.026578618483,-4777.445266263618
11185.498492645,-109.87517826444008,21329.29472671284,-5223.99358726286
11185.511989021,-388.5525583901201,21506.834936879874,-5119.293940676843
11185.526179633,-264.16895185997004,21434.0543914866,-5137.525525642375
11185.538899996,-455.44392554153006,21573.372570414514,-4816.978540479207
11185.554322637,-473.40495463792,21668.312416567063,-4649.949165656444
11185.568300269,-330.36229406840005,21524.03355676025,-5313.138176541893
11185.582114347,-456.02494052297004,21572.927572551205,-4846.279855428913
11185.596247515,-307.8116501012601,21442.909550310163,-5245.603113348983
11185.610211202,-142.04484803542007,21645.65635085524,-4663.444401986532
11185.624881663,-324.5339875358301,21559.39943840242,-5009.896166807509
11185.639234737,-231.5110681115301,21465.98373481973,-5048.56481205737
11185.654944377,-339.99544176415014,21625.35170562022,-4726.123287440024
