x,y,z
10745.62330843372,-35120.09890580549,6993.503655304191
10751.601095959715,-35059.54854425765,6273.417763920241
10845.833350890036,-35079.78860393597,6323.646385388491
10786.766685268343,-35007.495015574124,7015.4875075542395
10682.228942237092,-35044.21630926557,5911.758282674389
10764.523754939064,-35111.31507145709,6906.29633185489
10540.498763166119,-34961.08320118493,6611.91979326034
10629.121931317753,-34985.61437993837,6379.375868511839
10524.346446821024,-35008.86646557245,6825.27257917499
10588.76229541593,-34817.88137764565,5962.11065806064
10873.751855018014,-35187.41118121181,6653.87855915824
10735.017621363673,-34963.80524640245,6508.423360354291
10750.710572843273,-35039.678905179884,6234.72197632694
10698.903080951322,-35072.561926428534,6739.95972195374
10746.805971486556,-35104.31878960469,6019.2829056113405
10855.621046138192,-35092.851640342844,6810.87793594629
10777.702288207525,-35189.11233533717,6505.83484090279
10792.730369487064,-35080.53639673013,6254.40091185424
10879.514063418532,-35141.901087748374,6956.767304745889
10814.937034169068,-34994.99505820349,5837.09445009704
10696.878248978413,-35228.24285255933,6591.39314339474
10931.416248945032,-35057.56833332597,6471.799419604839
10728.558306632181,-34989.29773116485,6176.58960462909
10785.53365326096,-35131.74381723221,6916.13579961854
10767.056305973836,-34991.74767116908,6031.11996786804
10542.20324858809,-35021.43196653461,6679.25326876149
10605.097954755585,-35093.09693226869,6698.867233481839
10879.667185040362,-35013.87856415429,5964.735272404891
10806.102319540996,-35244.989240192685,6875.83843006979
10687.275911482999,-35009.528853080694,6175.49025732419
10819.389649751289,-35137.74502819517,6536.64750391949
10872.051399112404,-35229.81391258637,6555.75614014134
10706.103826693792,-35124.10600265069,6047.43589067369
10898.841638658456,-35173.89231891845,6878.69611429294
10841.052329724153,-34990.96710657917,6110.51223139564
10654.56631239823,-35136.23156708189,6572.48251344169
10895.626084599984,-35053.04681859581,6753.77994074639
10747.65619943936,-35083.117423917414,6068.34411511979
10765.55732588643,-35326.30897557461,6893.318670987291
10795.146064547282,-35027.31102807701,6391.68010180899
10848.450521768455,-35231.918259108046,6409.09846576749
10821.192858324177,-35249.39555709533,6593.4618963906405
10589.80996967057,-34899.28353905933,5990.13370150909
10854.72044923084,-35309.325240693164,6700.39250052119
10903.137103102483,-35124.904442765575,6070.69956469239
10732.569690172542,-35181.46260373901,6319.931705283189
10760.750112864178,-35062.82473074893,6731.550643225641
10877.656456374727,-35035.96774758125,5857.16939816194
10855.081090945418,-35134.36655397773,6771.260181663891
10848.380005232086,-34913.43301014989,6501.61895742959
10846.74200683012,-35068.81799703413,6372.55393378209
10658.295629793114,-35040.89940630077,6788.382567501841
10701.647181595208,-34922.006310537654,5884.74589622294
11021.590780896808,-35227.06902642029,6792.54688684254
10737.959168309393,-35002.65670681829,6644.319600275389
10579.099515175056,-35117.58640146389,6425.14212995354
10765.746713155539,-35223.40950922709,6933.85839195879
10763.691659809896,-35014.87264195901,5855.2986514348395
10856.61432192192,-35266.77453969533,6808.265696993841
10911.625279323249,-35046.48252859661,6520.31095546084
10791.898274357898,-35070.89751643781,6215.55146314609
10940.357745756748,-35194.58423214437,6879.18081713844
10878.893517898474,-35014.470442647405,5925.7321625818895
10780.56727434233,-35248.57328294717,6631.67298113844
10673.922094252704,-34901.03931284429,6576.41273162084
10844.560023719012,-35162.966400829006,6234.660099367939
10982.552826362376,-35266.13400005093,6898.398769321189
10704.596787573655,-35166.36076440197,5959.06424911254
10850.731228030481,-35189.07161886365,6536.47321715164
10566.483099439372,-35070.18547469357,6844.64419247259
10534.335617887382,-35140.480976598774,6248.52878844514
10550.54233270339,-35086.98052347821,7077.95951664329
10668.159885852185,-34946.54940630773,6273.523986033189
10656.847018660255,-35093.38492683748,6699.85726482584
10875.726318036373,-35227.00248974405,6741.02091180059
